Documentos,Aceitação,Justificativa
ALERTA nº 001/2023 Infraestrutura eVTOL,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ALERTAn001_2023InfraestruturaparapousoedecolagemdeaeronaveseVTOL,Rejeitado,Documento repetido.
"Anatel - Ato nº 915, de 01 de fevereiro de 2024",Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ANEEL1000,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
Anatel_915,Rejeitado,Documento repetido.
CEF RBAC 103,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC 107,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC 133,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC 153,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC nº 161,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
CEF RBAC-E 94,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CONAMA_RES_CONS_1997_237,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
D10854,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D10935,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D10936,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D1141,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12483,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12486,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12490,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12602,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D1876,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D4297,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D45058,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D527,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D528,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D529,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D5566,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D5758,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D5875,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D60296,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D6288,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D6469,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D6686,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D6695,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D6780,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
D6848,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D707,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D7130,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D7341,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D7378,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D7747,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D7888,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D84017,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D85916,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D87561,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D8775,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D88351,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D88421,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D88940,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D89242,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D89431,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D89496,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D89532,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D90225,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D90347,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D90379,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D90883,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D91304,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D91892,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D924,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D92755,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D9313,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D9337,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D9402,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D94764,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D95922,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D96693,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D97718,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D97822,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D98182,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D98864,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D98881,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D98891,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D99274,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
D99278,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D99540,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
DOC_20251021203046_DF,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 100-1,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 100-12,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 100-16,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 100-24,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 100-31,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 100-36,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 100-37,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 100-4,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 100-40,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 100-44,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 105-15,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 11-3,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 11-4,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 11-408,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 12-24,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 12-36,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 121-3,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 205-51,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 351-5,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 53-4,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 53-8,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 57-1,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-10,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-13,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-18,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-19,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ICA 63-26,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-37,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-43,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-46,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 63-51,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 800-8,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 96-1,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 96-2,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ICA 96-3,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
IS161,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L10098,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L10165,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L10257,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L10636,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L10933,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L11182,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L11318,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L11673,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L11891,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L12187,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L12305,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L12587,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L12593,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L12651,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L12678,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L12725,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L12727,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L12836,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L12965,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13089,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13116,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L13146,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L13240,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13406,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13452,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13465,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L13668,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13683,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13699,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13709,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13848,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L13971,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14000,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14489,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14714,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14729,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14748,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14750,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14849,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L14904,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L15180,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L15190,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L4766,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L6261,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L6766,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L6803,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L6902,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L6938,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L7499,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L7565,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L7661,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L7804,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L8078,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L9074,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L9097,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L9262,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L9497,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
L9503,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
L9605,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
Lei 9427,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
Lei 9472,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
MCA 100-20,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
MCA 100-32,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
NBR 5419,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
NBR 9050,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
NBR 9077,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
NBR ISO 140,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
PCA 351-7,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
PL743,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
PortariaANAC957,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC 135 - Transporte Aéreo,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
RBAC-E94,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC01,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC011,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC103,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC105,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC107,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC133EMD02,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC139,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
RBAC153,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC154EMD08,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC155,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
RBAC161,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
RBAC36EMD31 - Português,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RBAC91,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
RBAC01,Rejeitado,Documento Repetido.
RBAC01,Rejeitado,Documento Repetido.
RE0001-230186,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
RE0003-280690,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ResANAC653,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ResANAC736,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ResANAC775,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ResCONAMA001-1986,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ResCONAMA002,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ResCONAMA003-1990,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
ResCONAMA237,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ResCONAMA237-1997,Rejeitado,Documento repitido.
RESOLUÇÃO NORMATIVA ANEEL N 1.059,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
RESOLUÇÃO NORMATIVA ANEEL N 482,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.