Documento,Status
ALERTA nº 001/2023 Infraestrutura eVTOL,ACEITO
Anatel - Ato nº 915 (01/02/2024),ACEITO
ANEEL1000,ACEITO
CONAMA_RES_CONS_1990_002,ACEITO
Decreto nº 6.780/2009 - Política Nacional de Aviação Civil (PNAC),ACEITO
Decreto 99.274/1990 - PNMA regulamentação,ACEITO
ICA 100-12,ACEITO
ICA 100-31,ACEITO
ICA 100-36,ACEITO
ICA 100-4,ACEITO
ICA 100-40 - Sistemas RPAS,ACEITO
ICA 11-3 - Procedimentos Espaço Aéreo,ACEITO
ICA 11-408,ACEITO
ICA 53-8,ACEITO
ICA 63-19,ACEITO
IS161,ACEITO
Lei 10.098/2000 - Acessibilidade,ACEITO
Lei 10.257/2001 - Estatuto da Cidade,ACEITO
Lei 10636,ACEITO
Lei 11.182/2005 - Lei da ANAC,ACEITO
Lei 12.187/2009 - PNMC,ACEITO
Lei 12.587/2012 - PNMU,ACEITO
Lei 12.651/2012 - Código Florestal,ACEITO
Lei 12.725/2012 - Fauna em Aeródromos,ACEITO
Lei 13.146/2015 - Inclusão,ACEITO
Lei 13.465/2017 - Regularização Fundiária,ACEITO
Lei 13116,ACEITO
Lei 15190,ACEITO
Lei 6.766/1979 - Parcelamento Solo,ACEITO
Lei 6.902/1981 - Estações Ecológicas,ACEITO
Lei 6.938/1981 - Política Nacional Meio Ambiente,ACEITO
Lei 7.565/1986 - Código Brasileiro Aeronáutica,ACEITO
Lei 7.661/1988 - Gerenciamento Costeiro,ACEITO
Lei 8.078/1990 - CDC,ACEITO
Lei 9.605/1998 - Lei de Crimes Ambientais,ACEITO
Lei 9074,ACEITO
Lei 9427,ACEITO
Lei 9472,ACEITO
Lei 9503,ACEITO
MCA 100-20 - Manual Gerenciamento Espaço Aéreo,ACEITO
PCA 351-7,ACEITO
PL743,ACEITO
RBAC 135 - Transporte Aéreo,ACEITO
RBAC 139 - Certificação de Aeródromos,ACEITO
RBAC 155 EMD 01,ACEITO
RBAC 161 EMD 04,ACEITO
RBAC 91 - Regras Gerais de Voo,ACEITO
ResCONAMA001,ACEITO
Resolução ANAC 653/2022 - Operações VFR,ACEITO
Resolução ANAC 775,ACEITO
Resolução CONAMA 237/1997,ACEITO
RESOLUÇÃO NORMATIVA ANEEL N 1.059,ACEITO
"RESOLUÇÃO Nº 653, 20_12_2021 — Agência Nacional de Aviação Civil ANAC",ACEITO
"RESOLUÇÃO Nº 736, 09_02_2024 — Agência Nacional de Aviação Civil ANAC",ACEITO